[Array(2.2126536, dtype=float32), Array(2.0496042, dtype=float32), Array(1.9372268, dtype=float32), Array(1.8544946, dtype=float32), Array(1.7938542, dtype=float32), Array(1.7449675, dtype=float32), Array(1.7085425, dtype=float32), Array(1.6726686, dtype=float32), Array(1.6485015, dtype=float32), Array(1.6264175, dtype=float32), Array(1.6075144, dtype=float32), Array(1.5871857, dtype=float32), Array(1.5767539, dtype=float32), Array(1.5667112, dtype=float32), Array(1.5524178, dtype=float32), Array(1.5448728, dtype=float32), Array(1.5341325, dtype=float32), Array(1.5226308, dtype=float32), Array(1.514879, dtype=float32), Array(1.5075213, dtype=float32), Array(1.5006428, dtype=float32), Array(1.4954085, dtype=float32), Array(1.4891026, dtype=float32), Array(1.4844978, dtype=float32), Array(1.4819512, dtype=float32), Array(1.475251, dtype=float32), Array(1.471988, dtype=float32), Array(1.4648341, dtype=float32), Array(1.4599613, dtype=float32), Array(1.4564263, dtype=float32), Array(1.4530084, dtype=float32), Array(1.4497128, dtype=float32), Array(1.4499342, dtype=float32), Array(1.4458079, dtype=float32), Array(1.4412161, dtype=float32), Array(1.4408776, dtype=float32), Array(1.4334203, dtype=float32), Array(1.4325547, dtype=float32), Array(1.4331754, dtype=float32), Array(1.4265325, dtype=float32), Array(1.4270523, dtype=float32), Array(1.4202921, dtype=float32), Array(1.4197743, dtype=float32), Array(1.4185448, dtype=float32), Array(1.4154294, dtype=float32), Array(1.4128504, dtype=float32), Array(1.4131565, dtype=float32), Array(1.4094616, dtype=float32), Array(1.4097701, dtype=float32), Array(1.4061652, dtype=float32)]
[Array(1.7052822, dtype=float32), Array(1.7020923, dtype=float32), Array(1.6961309, dtype=float32), Array(1.6926572, dtype=float32), Array(1.6910934, dtype=float32), Array(1.6888602, dtype=float32), Array(1.6844759, dtype=float32), Array(1.6818918, dtype=float32), Array(1.6830546, dtype=float32), Array(1.6790147, dtype=float32), Array(1.679656, dtype=float32), Array(1.6752698, dtype=float32), Array(1.6759524, dtype=float32), Array(1.6740894, dtype=float32), Array(1.6751007, dtype=float32), Array(1.6738409, dtype=float32), Array(1.6701427, dtype=float32), Array(1.6709324, dtype=float32), Array(1.6715258, dtype=float32), Array(1.6718267, dtype=float32), Array(1.6699599, dtype=float32), Array(1.6679941, dtype=float32), Array(1.6694543, dtype=float32), Array(1.670876, dtype=float32), Array(1.6710165, dtype=float32), Array(1.668571, dtype=float32), Array(1.6674876, dtype=float32), Array(1.668404, dtype=float32), Array(1.6632943, dtype=float32), Array(1.6646078, dtype=float32), Array(1.6687493, dtype=float32), Array(1.6665279, dtype=float32), Array(1.6639392, dtype=float32), Array(1.6638991, dtype=float32), Array(1.6660382, dtype=float32), Array(1.666285, dtype=float32), Array(1.6659775, dtype=float32), Array(1.664466, dtype=float32), Array(1.6666332, dtype=float32), Array(1.6644664, dtype=float32), Array(1.6593139, dtype=float32), Array(1.6645851, dtype=float32), Array(1.6652083, dtype=float32), Array(1.6624213, dtype=float32), Array(1.6615666, dtype=float32), Array(1.6618007, dtype=float32), Array(1.6598114, dtype=float32), Array(1.6637068, dtype=float32), Array(1.6625999, dtype=float32), Array(1.6651863, dtype=float32)]
[Array(1.5868732, dtype=float32), Array(1.5300761, dtype=float32), Array(1.5030226, dtype=float32), Array(1.4863824, dtype=float32), Array(1.476648, dtype=float32), Array(1.4673737, dtype=float32), Array(1.4638739, dtype=float32), Array(1.4544106, dtype=float32), Array(1.4543452, dtype=float32), Array(1.4498742, dtype=float32), Array(1.4448165, dtype=float32), Array(1.4445136, dtype=float32), Array(1.4418212, dtype=float32), Array(1.4378518, dtype=float32), Array(1.433096, dtype=float32), Array(1.4353197, dtype=float32), Array(1.4327136, dtype=float32), Array(1.4328334, dtype=float32), Array(1.4283714, dtype=float32), Array(1.4266427, dtype=float32), Array(1.4255148, dtype=float32), Array(1.423898, dtype=float32), Array(1.4248773, dtype=float32), Array(1.4220413, dtype=float32), Array(1.4223164, dtype=float32), Array(1.4230027, dtype=float32), Array(1.4219245, dtype=float32), Array(1.4207174, dtype=float32), Array(1.4201063, dtype=float32), Array(1.4180532, dtype=float32), Array(1.4165055, dtype=float32), Array(1.4144342, dtype=float32), Array(1.4186313, dtype=float32), Array(1.4160813, dtype=float32), Array(1.4193207, dtype=float32), Array(1.4176356, dtype=float32), Array(1.414214, dtype=float32), Array(1.4155723, dtype=float32), Array(1.4157932, dtype=float32), Array(1.4142356, dtype=float32), Array(1.4106274, dtype=float32), Array(1.4130373, dtype=float32), Array(1.416902, dtype=float32), Array(1.4145095, dtype=float32), Array(1.4151236, dtype=float32), Array(1.412258, dtype=float32), Array(1.4109802, dtype=float32), Array(1.4120108, dtype=float32), Array(1.412759, dtype=float32), Array(1.4133918, dtype=float32)]
[Array(2.0378768, dtype=float32), Array(1.9783034, dtype=float32), Array(1.9051929, dtype=float32), Array(1.8396566, dtype=float32), Array(1.7820839, dtype=float32), Array(1.7366717, dtype=float32), Array(1.6913708, dtype=float32), Array(1.6570345, dtype=float32), Array(1.6282021, dtype=float32), Array(1.6020159, dtype=float32), Array(1.5789168, dtype=float32), Array(1.5566972, dtype=float32), Array(1.5441066, dtype=float32), Array(1.5274166, dtype=float32), Array(1.5153985, dtype=float32), Array(1.5026454, dtype=float32), Array(1.492061, dtype=float32), Array(1.4775534, dtype=float32), Array(1.4729513, dtype=float32), Array(1.4635568, dtype=float32), Array(1.4552003, dtype=float32), Array(1.4448317, dtype=float32), Array(1.4449103, dtype=float32), Array(1.4354447, dtype=float32), Array(1.4306195, dtype=float32), Array(1.4218774, dtype=float32), Array(1.4172336, dtype=float32), Array(1.412759, dtype=float32), Array(1.4061414, dtype=float32), Array(1.4024184, dtype=float32), Array(1.4001476, dtype=float32), Array(1.3996924, dtype=float32), Array(1.3935665, dtype=float32), Array(1.3891954, dtype=float32), Array(1.3901274, dtype=float32), Array(1.3839421, dtype=float32), Array(1.3773295, dtype=float32), Array(1.3769581, dtype=float32), Array(1.3766574, dtype=float32), Array(1.3723444, dtype=float32), Array(1.3699927, dtype=float32), Array(1.3688084, dtype=float32), Array(1.3671815, dtype=float32), Array(1.3670226, dtype=float32), Array(1.3611889, dtype=float32), Array(1.3580129, dtype=float32), Array(1.3534116, dtype=float32), Array(1.356309, dtype=float32), Array(1.3529506, dtype=float32), Array(1.3530089, dtype=float32)]
[Array(1.6416627, dtype=float32), Array(1.591877, dtype=float32), Array(1.5590019, dtype=float32), Array(1.5321274, dtype=float32), Array(1.5181448, dtype=float32), Array(1.5042083, dtype=float32), Array(1.4931093, dtype=float32), Array(1.4870863, dtype=float32), Array(1.4762219, dtype=float32), Array(1.4699192, dtype=float32), Array(1.4663495, dtype=float32), Array(1.4640033, dtype=float32), Array(1.4564399, dtype=float32), Array(1.4513147, dtype=float32), Array(1.4452784, dtype=float32), Array(1.4452643, dtype=float32), Array(1.4413904, dtype=float32), Array(1.4377306, dtype=float32), Array(1.4351542, dtype=float32), Array(1.4321868, dtype=float32), Array(1.4326867, dtype=float32), Array(1.4283931, dtype=float32), Array(1.4240336, dtype=float32), Array(1.4213022, dtype=float32), Array(1.4216775, dtype=float32), Array(1.4167477, dtype=float32), Array(1.4176422, dtype=float32), Array(1.4139059, dtype=float32), Array(1.4152954, dtype=float32), Array(1.4146298, dtype=float32), Array(1.4099205, dtype=float32), Array(1.408586, dtype=float32), Array(1.4087524, dtype=float32), Array(1.4064555, dtype=float32), Array(1.4052932, dtype=float32), Array(1.4054681, dtype=float32), Array(1.4022555, dtype=float32), Array(1.4013115, dtype=float32), Array(1.4017172, dtype=float32), Array(1.3961413, dtype=float32), Array(1.3986498, dtype=float32), Array(1.3975, dtype=float32), Array(1.3968846, dtype=float32), Array(1.3983141, dtype=float32), Array(1.3934525, dtype=float32), Array(1.3934822, dtype=float32), Array(1.3924872, dtype=float32), Array(1.3924952, dtype=float32), Array(1.3907198, dtype=float32), Array(1.3887328, dtype=float32)]
[Array(1.6696999, dtype=float32), Array(1.6562556, dtype=float32), Array(1.6570396, dtype=float32), Array(1.6532198, dtype=float32), Array(1.6447328, dtype=float32), Array(1.644128, dtype=float32), Array(1.6387755, dtype=float32), Array(1.6363442, dtype=float32), Array(1.6311742, dtype=float32), Array(1.632095, dtype=float32), Array(1.6300912, dtype=float32), Array(1.6251557, dtype=float32), Array(1.6241373, dtype=float32), Array(1.6211206, dtype=float32), Array(1.6208225, dtype=float32), Array(1.6183094, dtype=float32), Array(1.6179785, dtype=float32), Array(1.6148694, dtype=float32), Array(1.6150289, dtype=float32), Array(1.6110282, dtype=float32), Array(1.6131251, dtype=float32), Array(1.6100146, dtype=float32), Array(1.6112344, dtype=float32), Array(1.6063974, dtype=float32), Array(1.6043664, dtype=float32), Array(1.602511, dtype=float32), Array(1.6002177, dtype=float32), Array(1.6021068, dtype=float32), Array(1.6039534, dtype=float32), Array(1.5995013, dtype=float32), Array(1.6013037, dtype=float32), Array(1.5957286, dtype=float32), Array(1.5987582, dtype=float32), Array(1.5934324, dtype=float32), Array(1.5959469, dtype=float32), Array(1.5978439, dtype=float32), Array(1.5941007, dtype=float32), Array(1.5911996, dtype=float32), Array(1.5934992, dtype=float32), Array(1.590968, dtype=float32), Array(1.5924293, dtype=float32), Array(1.5888339, dtype=float32), Array(1.5899333, dtype=float32), Array(1.5902785, dtype=float32), Array(1.5872277, dtype=float32), Array(1.5871128, dtype=float32), Array(1.5869664, dtype=float32), Array(1.5872123, dtype=float32), Array(1.5847105, dtype=float32), Array(1.5844802, dtype=float32)]
[Array(1.6052291, dtype=float32), Array(1.5720538, dtype=float32), Array(1.5545198, dtype=float32), Array(1.5475423, dtype=float32), Array(1.5365766, dtype=float32), Array(1.5310198, dtype=float32), Array(1.5221221, dtype=float32), Array(1.520308, dtype=float32), Array(1.5161444, dtype=float32), Array(1.5110865, dtype=float32), Array(1.5059718, dtype=float32), Array(1.5051445, dtype=float32), Array(1.5016216, dtype=float32), Array(1.5006804, dtype=float32), Array(1.4978731, dtype=float32), Array(1.4979532, dtype=float32), Array(1.4940339, dtype=float32), Array(1.493269, dtype=float32), Array(1.4925326, dtype=float32), Array(1.4912955, dtype=float32), Array(1.4896936, dtype=float32), Array(1.488341, dtype=float32), Array(1.4887197, dtype=float32), Array(1.4867668, dtype=float32), Array(1.4861921, dtype=float32), Array(1.4841595, dtype=float32), Array(1.4830246, dtype=float32), Array(1.4850754, dtype=float32), Array(1.481452, dtype=float32), Array(1.4822017, dtype=float32), Array(1.4810631, dtype=float32), Array(1.4786531, dtype=float32), Array(1.4820533, dtype=float32), Array(1.4765923, dtype=float32), Array(1.4774967, dtype=float32), Array(1.4793054, dtype=float32), Array(1.4758714, dtype=float32), Array(1.4757177, dtype=float32), Array(1.4758564, dtype=float32), Array(1.4700539, dtype=float32), Array(1.475547, dtype=float32), Array(1.4739758, dtype=float32), Array(1.4728062, dtype=float32), Array(1.4716555, dtype=float32), Array(1.4728055, dtype=float32), Array(1.4693929, dtype=float32), Array(1.4710793, dtype=float32), Array(1.4684013, dtype=float32), Array(1.4705974, dtype=float32), Array(1.4695411, dtype=float32)]
[Array(1.6345729, dtype=float32), Array(1.615424, dtype=float32), Array(1.6048409, dtype=float32), Array(1.5966917, dtype=float32), Array(1.5905207, dtype=float32), Array(1.5819011, dtype=float32), Array(1.5804049, dtype=float32), Array(1.5748812, dtype=float32), Array(1.5710183, dtype=float32), Array(1.5690758, dtype=float32), Array(1.5641439, dtype=float32), Array(1.5627017, dtype=float32), Array(1.5628879, dtype=float32), Array(1.5609064, dtype=float32), Array(1.5602801, dtype=float32), Array(1.5559103, dtype=float32), Array(1.5562749, dtype=float32), Array(1.5526611, dtype=float32), Array(1.5531837, dtype=float32), Array(1.5533657, dtype=float32), Array(1.5491098, dtype=float32), Array(1.5510281, dtype=float32), Array(1.5489748, dtype=float32), Array(1.5487726, dtype=float32), Array(1.5479206, dtype=float32), Array(1.5457133, dtype=float32), Array(1.5477853, dtype=float32), Array(1.5470008, dtype=float32), Array(1.547499, dtype=float32), Array(1.5425524, dtype=float32), Array(1.5435041, dtype=float32), Array(1.5435683, dtype=float32), Array(1.540816, dtype=float32), Array(1.538958, dtype=float32), Array(1.541899, dtype=float32), Array(1.5420791, dtype=float32), Array(1.5385648, dtype=float32), Array(1.5422632, dtype=float32), Array(1.5412532, dtype=float32), Array(1.5379906, dtype=float32), Array(1.5391014, dtype=float32), Array(1.5358607, dtype=float32), Array(1.5394889, dtype=float32), Array(1.5368075, dtype=float32), Array(1.5388858, dtype=float32), Array(1.5369405, dtype=float32), Array(1.5379092, dtype=float32), Array(1.5386034, dtype=float32), Array(1.5362436, dtype=float32), Array(1.5374991, dtype=float32)]
[Array(1.8339863, dtype=float32), Array(1.6472706, dtype=float32), Array(1.5432621, dtype=float32), Array(1.4710237, dtype=float32), Array(1.4243695, dtype=float32), Array(1.3872738, dtype=float32), Array(1.3596883, dtype=float32), Array(1.3388329, dtype=float32), Array(1.3231192, dtype=float32), Array(1.3053666, dtype=float32), Array(1.2983547, dtype=float32), Array(1.2861671, dtype=float32), Array(1.2770015, dtype=float32), Array(1.2679737, dtype=float32), Array(1.2631723, dtype=float32), Array(1.258065, dtype=float32), Array(1.2498897, dtype=float32), Array(1.2470063, dtype=float32), Array(1.2423037, dtype=float32), Array(1.2380557, dtype=float32), Array(1.2321576, dtype=float32), Array(1.2289138, dtype=float32), Array(1.2273705, dtype=float32), Array(1.2234335, dtype=float32), Array(1.2207979, dtype=float32), Array(1.2184628, dtype=float32), Array(1.2161708, dtype=float32), Array(1.2135912, dtype=float32), Array(1.2082653, dtype=float32), Array(1.2121788, dtype=float32), Array(1.2071062, dtype=float32), Array(1.2067168, dtype=float32), Array(1.2048244, dtype=float32), Array(1.2027874, dtype=float32), Array(1.2012848, dtype=float32), Array(1.2002562, dtype=float32), Array(1.1974362, dtype=float32), Array(1.1969846, dtype=float32), Array(1.1928964, dtype=float32), Array(1.1954733, dtype=float32), Array(1.1918405, dtype=float32), Array(1.1927433, dtype=float32), Array(1.190195, dtype=float32), Array(1.1881099, dtype=float32), Array(1.1872766, dtype=float32), Array(1.1855983, dtype=float32), Array(1.1846198, dtype=float32), Array(1.1851473, dtype=float32), Array(1.1840967, dtype=float32), Array(1.185054, dtype=float32)]
[Array(1.6678492, dtype=float32), Array(1.6445942, dtype=float32), Array(1.6270638, dtype=float32), Array(1.6078007, dtype=float32), Array(1.593489, dtype=float32), Array(1.5813013, dtype=float32), Array(1.5689346, dtype=float32), Array(1.5611998, dtype=float32), Array(1.5507032, dtype=float32), Array(1.5457412, dtype=float32), Array(1.5412308, dtype=float32), Array(1.5297043, dtype=float32), Array(1.5271957, dtype=float32), Array(1.5198493, dtype=float32), Array(1.5175443, dtype=float32), Array(1.5101129, dtype=float32), Array(1.505445, dtype=float32), Array(1.502318, dtype=float32), Array(1.5038583, dtype=float32), Array(1.4963177, dtype=float32), Array(1.494189, dtype=float32), Array(1.4901497, dtype=float32), Array(1.4907739, dtype=float32), Array(1.4841714, dtype=float32), Array(1.4815459, dtype=float32), Array(1.4786828, dtype=float32), Array(1.4769003, dtype=float32), Array(1.4739798, dtype=float32), Array(1.4770756, dtype=float32), Array(1.4722537, dtype=float32), Array(1.4723305, dtype=float32), Array(1.4681523, dtype=float32), Array(1.4648052, dtype=float32), Array(1.465049, dtype=float32), Array(1.464007, dtype=float32), Array(1.4623467, dtype=float32), Array(1.4636979, dtype=float32), Array(1.460028, dtype=float32), Array(1.4592247, dtype=float32), Array(1.4548035, dtype=float32), Array(1.4527063, dtype=float32), Array(1.4555131, dtype=float32), Array(1.4527069, dtype=float32), Array(1.4545633, dtype=float32), Array(1.4515644, dtype=float32), Array(1.4485489, dtype=float32), Array(1.4502711, dtype=float32), Array(1.4474401, dtype=float32), Array(1.4461313, dtype=float32), Array(1.4426283, dtype=float32)]
